topic,ID,url,title,snippet,relevant,viewpoint
Is Obesity a Disease?,11141,https://medicalxpress.com/news/2015-05-obesity-disease.html,Study finds support for obesity designation as disease,"In the first assessment of public <b>opinion</b> since <b>obesity</b> was formally classified as a <b>disease</b>, a new study from the Rudd Center for Food Policy &amp; <b>Obesity</b> at the University of Connecticut has found ...",TRUE,0
Is Obesity a Disease?,11187,http://www.teenink.com/opinion/school_college/article/802973/Obesity-is-a-Disease/,Obesity is a Disease | Teen Ink,"Although it is true <b>obesity</b> can very well be treated and prevented with the simple solution of a healthy diet and exercise, <b>obesity</b> is a <b>disease</b> because, in correlation with the definition of a ...",TRUE,3
Is Obesity a Disease?,28376,https://www.kevinmd.com/blog/2018/11/call-obesity-what-it-is-a-disease.html,Call obesity what it is: a disease,"But this is incorrect — the common arguments against obesity as a disease are insufficient. Some may argue that if obesity were a disease: 1. “… it will lead to excessive focus on medications and surgery to treat obesity”: We have seen trends since the 1980s showing a gradual increase in obesity rates, and numerous societal factors have ...",TRUE,3
Is Obesity a Disease?,33628,https://sydney.edu.au/news-opinion/news/2016/06/17/is-obesity-a-disease-.html,Is obesity a disease? - The University of Sydney,"“If <b>obesity</b> is officially recognised and treated as a <b>disease</b>, it can be managed and prevented more effectively, and the future of Australia’s health might look far more hopeful,” said Professor Stephen Simpson, Executive Director of <b>Obesity</b> Australia and Academic Director of the Charles Perkins Centre.",TRUE,0
Is Obesity a Disease?,41568,https://www.healthline.com/nutrition/9-reasons-obesity-is-not-a-choice,9 Reasons Why Obesity is Not Just a Choice,"Even though poor diet and inactivity can lead to obesity, it&#39;s not always that simple. Here are 9 reasons why obesity is not just an individual choice.",TRUE,0
Is Obesity a Disease?,42282,https://www.thelancet.com/journals/landia/article/PIIS2213-8587(17)30191-2/fulltext,Should we officially recognise obesity as a disease? - The ...,"At the European Congress on <b>Obesity</b> in Porto, Portugal (May 17–20, 2017) and the European Congress of Endocrinology in Lisbon, Portugal (May 20–23, 2017), several experts called for more countries to officially recognise <b>obesity</b> as a <b>disease</b>.",TRUE,1
Is Obesity a Disease?,52938,https://doctorjeffreybrown.com/diet/a-year-ago-millions-of-north-americans-contracted-a-brand-new-disease-they-already-had-obesity/,Obesity isn&#39;t a disease. Here&#39;s why,"The Centre for Disease Control and Prevention has declared obesity “public enemy number one!” We must continue to pursue forward-thinking remedies for obesity and its significant medical, psychological and socio-economic consequences. The obesity-as-disease message might be a little like a Trojan horse. On the surface it’s an unexpected gift.",TRUE,-3
Is Obesity a Disease?,66888,https://www.medpagetoday.com/MeetingCoverage/AMA/39918,"Obesity Not a Disease, AMA Council Says | MedPage Today","The obesity-is-a-disease contingent also included the American Academy of Family Physicians and the American Association of Clinical Endocrinologists, who said evidence shows obesity is a ...",TRUE,-2
Is Obesity a Disease?,81896,https://www.wwmedgroup.com/blog/obesity-classified-disease/,Is Obesity a Disease? | Western Washington Medical Group,"<b>Obesity</b> is also one of the top causes of preventable death and exposes people to the risk of other health issues like high blood pressure, stroke, diabetes, and heart <b>disease</b>. While the medical community agrees that <b>obesity</b> is a pressing matter, there is an ongoing debate as to whether or not <b>obesity</b> should be classified as a <b>disease</b>.",TRUE,0
Is Obesity a Disease?,82853,https://www.theatlantic.com/health/archive/2013/06/is-obesity-really-a-disease/277148/,Is Obesity Really a Disease? - The Atlantic,"Should the U.S. declare war on obesity, as we once did on cancer? If obesity truly is a disease, then over 78 million adults and 12 million children in America just got classified as sick.",TRUE,-1
Is Obesity a Disease?,87236,https://onlinelibrary.wiley.com/doi/full/10.1038/oby.2008.231,Obesity as a Disease: A White Paper on Evidence and ...,"Obesity as a Disease: A White Paper on Evidence and Arguments Commissioned by the Council of The Obesity Society ... If we were to weigh the number of bodies that offer the opinion that obesity is a disease against the number that maintain that obesity is not a disease, ... Rather, the argument is that the disease label might have broad effects ...",TRUE,0
Is Obesity a Disease?,91994,https://life.spectator.co.uk/articles/obesity-isnt-a-disease-whatever-the-american-medical-association-may-think/,"Obesity isn’t a ‘disease’, whatever the American Medical ...","In terms of health, there is a great deal of evidence showing that overweight (but <b>not</b> obese) people live as long as ‘normal’ people and possibly slightly longer. In terms of normality, if most people are overweight then being overweight is normal by definition, but that is <b>not</b> what the Association for the Study of <b>Obesity</b> means.",TRUE,-3
Is Obesity a Disease?,92866,https://www.forbes.com/sites/forbesleadershipforum/2013/06/27/why-obesity-must-be-considered-a-disease/,Why Obesity Must Be Considered A Disease - Forbes,"Why Obesity Must Be Considered A Disease . ... we have observed that except for their size and comorbid diseases, people with obesity reflect the full spectrum and diversity of humanity, neither ...",TRUE,3
Is Obesity a Disease?,93036,https://www.nationalreview.com/2013/07/obesity-not-disease-michael-tanner/,Obesity Is Not a Disease | National Review,"Recently the American Medical Association declared that it will consider obesity a disease. At first glance, it’s a minor story, hardly worth mentioning, but in reality the AMA’s move is a ...",TRUE,-3
Is Obesity a Disease?,19061,http://www.teenink.com/hot_topics/health/article/778097/You-think-obesity-is-a-disease-but-it-is-not/,"You think obesity is a disease, but it is not. | Teen Ink","You think obesity is a disease, but it is not. ... Despite opposing views, obesity should not be classified as a disease because a disease is normally considered something that is out of one’s ...",TRUE,-3
Is Obesity a Disease?,23910,https://www.forbes.com/sites/brucejapsen/2013/06/16/ama-considers-classifying-obesity-as-a-disease/,AMA Considers Classifying Obesity As A Disease,"In a 14-page report, the AMA’s science and public health council offered its membership pros and cons of classifying obesity as a disease. On the proponent side, the report said obesity is ...",TRUE,0
Is Obesity a Disease?,30001,https://www.theguardian.com/commentisfree/2018/apr/30/jamie-oliver-childhood-obesity-strategy-ignore-physical-activity-mental-health,Jamie Oliver is wrong – obesity is not just about diet ...,"<b>Opinion</b> <b>Obesity</b> Jamie Oliver is wrong – <b>obesity</b> is not just about diet Tanni Grey-Thompson. ... <b>Obesity</b> is a complex <b>disease</b>, influenced by a multitude of factors. Any strategy, policy call or ...",TRUE,3
Is Obesity a Disease?,48540,https://morethanhealth.weebly.com/counter-argument.html,Counter-Argument - Is Obesity More Than A Health Issue?,"Counter-Argument; Works Cited &quot;Obesity is not a disease but a physical manifestation of a history our country had with hunger.&quot;-Ethan Epstein, True/Slant. Button Text. In Ethan Epstein&#39;s article, “I’m Pro-Choice on Obesity,” found on True/Slant, he discusses how obesity is an individual free choice. Epstein refers to the War on Fat, which ...",TRUE,-2
Is Obesity a Disease?,66880,https://obesitymedicine.org/why-is-obesity-a-disease/,Why Is Obesity a Disease? - Obesity Medicine Association,"Is obesity a disease? For some, obesity as a disease invalidates the importance of discipline, proper nutrition, and exercise and enables individuals with obesity to escape responsibility. For others, obesity as a disease is a bridge to additional research, coordination of effective treatment, and increased resources for weight loss.",TRUE,2
Is Obesity a Disease?,73768,https://www.everydayhealth.com/sanjay-gupta/why-calling-obesity-a-disease-is-a-good-thing.aspx,Why Calling Obesity a Disease Is a Good Thing | Sanjay ...,Why Calling Obesity a Disease Is a Good Thing. The AMA&#39;s reclassification isn&#39;t just semantics. It could change the way we view and manage weight.,TRUE,2
Is Obesity a Disease?,76861,https://montrealgazette.com/opinion/opinion-obesity-should-be-viewed-as-a-disease,Opinion: Obesity should be viewed as a disease | Montreal ...,But <b>obesity</b> is not just a condition that accelerates aging: <b>obesity</b> should be viewed as a <b>disease</b> that accelerates aging. <b>Obesity</b> clearly changes the function of body systems resulting in adverse ...,TRUE,3
Is Obesity a Disease?,82383,https://www.livescience.com/37568-ama-obesity.html,"Yes, Obesity Is a Disease (Op-Ed) | Live Science","Yes,<b> Obesity</b> Is a <b>Disease</b> (Op-Ed) By Dr. Mitchell Roslin 19 June 2013. ... No matter what the cause or any individual&#39;s personal <b>opinion</b>, the <b>obesity</b> epidemic is a problem that we all need to ...",TRUE,3
Is Obesity a Disease?,84907,https://centerforweightandwellness.com/obesity-is-a-disease-really/,Obesity is a Disease. Really. - National Center for Weight ...,"Yet while we instinctively comfort and support normal-weight persons who suffer from hypertension or diabetes or other chronic diseases, even though unhealthy eating and inactivity were likely involved in developing those diseases, we ridicule and punish persons with obesity. Even doctors aren’t immune to this stigma.",TRUE,3
Is Obesity a Disease?,85038,https://www.forbes.com/sites/geoffreykabat/2013/07/09/why-labeling-obesity-as-a-disease-is-a-big-mistake/,Why Labeling Obesity As A Disease Is A Big Mistake - Forbes,"The American Medical Association’s decision last month to label obesity as a disease. has provoked a good deal of commentary, much of it critical. In fact, the AMA’s action went against the ...",TRUE,-2
Is Obesity a Disease?,91181,https://www.hhnmag.com/articles/7901-obesity-as-a-chronic-disease-not-a-character-flaw,"Obesity as a Chronic Disease, Not a Character Flaw | H&amp;HN","Estimates of the annual costs of <b>obesity</b>-related absenteeism in the U.S. range from $3.38 billion ($79 per obese individual) to $6.38 billion ($132 per obese individual). The medical field now recognizes <b>obesity</b> as a preventable and treatable <b>disease</b>, <b>not</b> a character flaw or a consequence of poor willpower.",TRUE,2
Is Obesity a Disease?,92530,https://www.usnews.com/debate-club/should-the-american-medical-association-have-classified-obesity-as-a-disease/call-obesity-what-it-is-a-disease,Call Obesity What It Is: a Disease | Debate Club | US News,Call <b>Obesity</b> What It Is: a <b>Disease</b>. More. The American Medical Association&#39;s recognition of <b>obesity</b> as a <b>disease</b> aligns perfectly with the science of <b>obesity</b> prevention and treatment. By ...,TRUE,3
Is Obesity a Disease?,94993,https://dryatendrayadav.com/2018/08/23/is-obesity-a-disease/,Is obesity a disease or a risk factor for other conditions ...,"Declaring <b>obesity</b> as a <b>disease</b> effectively declares large sections of the population as ‘being ill’. Another concern about labelling <b>obesity</b> as a <b>disease</b> is related to the finding that some people with <b>obesity</b> do not have any of the risk factors for associated <b>diseases</b>, such as high blood cholesterol, high blood sugar or high blood pressure.",TRUE,1
Is Obesity a Disease?,97846,https://translational-medicine.biomedcentral.com/articles/10.1186/s12967-019-1919-y,Why primary obesity is a disease? | Journal of ...,"Obesity is a real epidemic and a public health problem, defined by The Obesity Society (TOS) as a disease [], and not only an underpinning of major chronic diseases, but a serious debilitating condition in its own right [].Obesity is a multifactorial pathology that can be related to an altered nutritional behavior or secondary to genetic, hypothalamic, iatrogenic or endocrine diseases [].",TRUE,3
Is Obesity a Disease?,12013,https://www.massey.ac.nz/massey/about-massey/news/article.cfm?mnarticle_uuid=F0D0DC4D-D11E-E6BF-1B9F-7F940AB59D9A,Opinion: Obesity is not a disease - Massey University,"<b>Opinion</b>: <b>Obesity</b> is not a <b>disease</b> By Dr Andrew Dickson. Life is full of ludicrous decisions; we’ve all made one at some stage. One effective way of avoiding terrible mistakes is to make the decision-making process transparent, and by asking lots of people to help.",TRUE,-3
Is Obesity a Disease?,30775,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC1790820/,Obesity - A Preventable Disease - PubMed Central (PMC),"<b>Obesity</b> is a common and preventable <b>disease</b> of clinical and public health importance. It is often a major risk factor for the development of several non-communicable <b>diseases</b>, significant disability and premature death. There is presently a global epidemic ...",TRUE,0
Is Obesity a Disease?,44272,https://www.nature.com/articles/ejcn2017155,Defining obesity as a disease | European Journal of ...,One of the major criticisms against defining obesity as a disease is its definition ad diagnosis. Obesity has been defined as an ‘abnormal and excessive fat accumulation that may impair health ...,TRUE,0
Is Obesity a Disease?,49255,https://blogs.lse.ac.uk/politicsandpolicy/should-we-classify-obesity-as-a-disease/,Should we classify obesity as a disease? | British ...,"In light of the UK’s recent obesity strategy, as well as recent global developments on the topic, Dimitrinka Atanasova outlines some of the arguments for and against classifying obesity as a disease. She argues that, as it stands, it is wiser to stick with the status quo: see obesity as a contributor to chronic diseases.",TRUE,-1
Is Obesity a Disease?,49517,https://www.nytimes.com/2014/02/23/opinion/sunday/should-obesity-be-a-disease.html,Opinion | Should Obesity Be a ‘Disease’? - The New York Times,Should Obesity Be a ‘Disease’? By Crystal L. Hoyt ... at the same time promoting adaptive self-regulation and weight loss — both equally important components of the fight against the obesity ...,TRUE,0
